id	type	name	coords	image_id	image_name	commune	dossier_cote	image_cote	image_index	image_url	image_width	image_height	is_blank	classe	tag	color
f11fae21-c23b-46d5-9324-26c52cc2f6e8	page	FRAD094_3P_000017_01_0004	[[0, 0], [0, 5810], [3939, 5810], [3939, 0], [0, 0]]	a3d55c09-a797-4f07-8dad-8d9f481d8a95	CADASTRE%2FETATS_DE_SECTION%2F%2FABLON%2FFRAD094_3P_000017_01%2FFRAD094_3P_000017_01_0004.jpg	ABLON	FRAD094_3P_000017_01	FRAD094_3P_000017_01_0004	4	https://iiif.geohistoricaldata.org/iiif/2/CADASTRE%2FETATS_DE_SECTION%2F%2FABLON%2FFRAD094_3P_000017_01%2FFRAD094_3P_000017_01_0004.jpg/0,0,3939,5810/full/0/default.jpg	3939	5810	False	ets_tab_p1	AP_1822	COLOR
b25f5e23-1c13-4f0e-9933-2457dfd32695	page	FRAD094_3P_000017_01_0005	[[0, 0], [0, 5820], [3979, 5820], [3979, 0], [0, 0]]	62e9ae6d-925b-4f1c-bee6-c0f28428f48c	CADASTRE%2FETATS_DE_SECTION%2F%2FABLON%2FFRAD094_3P_000017_01%2FFRAD094_3P_000017_01_0005.jpg	ABLON	FRAD094_3P_000017_01	FRAD094_3P_000017_01_0005	5	https://iiif.geohistoricaldata.org/iiif/2/CADASTRE%2FETATS_DE_SECTION%2F%2FABLON%2FFRAD094_3P_000017_01%2FFRAD094_3P_000017_01_0005.jpg/0,0,3979,5820/full/0/default.jpg	3979	5820	False	ets_tab_p1	AP_1822	COLOR
0120dff9-f2fa-4e47-b756-c28cc643aae3	page	FRAD094_3P_000017_01_0006	[[0, 0], [0, 5810], [3520, 5810], [3520, 0], [0, 0]]	643eb72f-8e92-4adb-9f34-b9e0605ec035	CADASTRE%2FETATS_DE_SECTION%2F%2FABLON%2FFRAD094_3P_000017_01%2FFRAD094_3P_000017_01_0006.jpg	ABLON	FRAD094_3P_000017_01	FRAD094_3P_000017_01_0006	6	https://iiif.geohistoricaldata.org/iiif/2/CADASTRE%2FETATS_DE_SECTION%2F%2FABLON%2FFRAD094_3P_000017_01%2FFRAD094_3P_000017_01_0006.jpg/0,0,3520,5810/full/0/default.jpg	3520	5810	False	ets_recap_inter	AP_1822	COLOR
4a669607-caf4-43da-965b-885a5c0f0c2e	page	FRAD094_3P_000017_01_0007	[[0, 0], [0, 4566], [3133, 4566], [3133, 0], [0, 0]]	62c5a9e7-7817-4d47-9e94-75ec4fab482b	CADASTRE%2FETATS_DE_SECTION%2F%2FABLON%2FFRAD094_3P_000017_01%2FFRAD094_3P_000017_01_0007.jpg	ABLON	FRAD094_3P_000017_01	FRAD094_3P_000017_01_0007	7	https://iiif.geohistoricaldata.org/iiif/2/CADASTRE%2FETATS_DE_SECTION%2F%2FABLON%2FFRAD094_3P_000017_01%2FFRAD094_3P_000017_01_0007.jpg/0,0,3133,4566/full/0/default.jpg	3133	4566	False	ets_tab_p1	AP_1822	COLOR
93fc3d05-a420-47cb-9767-ce2c17b997ea	page	FRAD094_3P_000017_01_0066	[[0, 0], [0, 4555], [3142, 4555], [3142, 0], [0, 0]]	6e07a019-8eb7-4336-9c97-271528882587	CADASTRE%2FETATS_DE_SECTION%2F%2FABLON%2FFRAD094_3P_000017_01%2FFRAD094_3P_000017_01_0066.jpg	ABLON	FRAD094_3P_000017_01	FRAD094_3P_000017_01_0066	66	https://iiif.geohistoricaldata.org/iiif/2/CADASTRE%2FETATS_DE_SECTION%2F%2FABLON%2FFRAD094_3P_000017_01%2FFRAD094_3P_000017_01_0066.jpg/0,0,3142,4555/full/0/default.jpg	3142	4555	False	ets_tab_p2	AV_1822_NB	COLOR
a5400273-8704-444a-bcb8-74b3a21a1675	page	FRAD094_3P_000017_01_0067	[[0, 0], [0, 4555], [3083, 4555], [3083, 0], [0, 0]]	52057ee5-782a-48f2-8f89-ff8938028929	CADASTRE%2FETATS_DE_SECTION%2F%2FABLON%2FFRAD094_3P_000017_01%2FFRAD094_3P_000017_01_0067.jpg	ABLON	FRAD094_3P_000017_01	FRAD094_3P_000017_01_0067	67	https://iiif.geohistoricaldata.org/iiif/2/CADASTRE%2FETATS_DE_SECTION%2F%2FABLON%2FFRAD094_3P_000017_01%2FFRAD094_3P_000017_01_0067.jpg/0,0,3083,4555/full/0/default.jpg	3083	4555	False	ets_tab_p1	AV_1822_NB	COLOR
dafd08ee-c982-4226-a4b7-c17724c48d88	page	FRAD094_3P_000017_01_0068	[[0, 0], [0, 4555], [3192, 4555], [3192, 0], [0, 0]]	69c2867b-2772-46a3-a109-15ebaa8ffd48	CADASTRE%2FETATS_DE_SECTION%2F%2FABLON%2FFRAD094_3P_000017_01%2FFRAD094_3P_000017_01_0068.jpg	ABLON	FRAD094_3P_000017_01	FRAD094_3P_000017_01_0068	68	https://iiif.geohistoricaldata.org/iiif/2/CADASTRE%2FETATS_DE_SECTION%2F%2FABLON%2FFRAD094_3P_000017_01%2FFRAD094_3P_000017_01_0068.jpg/0,0,3192,4555/full/0/default.jpg	3192	4555	False	ets_tab_p2	AV_1822_NB	COLOR
7c98a117-9a3d-4ff4-b392-51c4c9f953a8	page	FRAD094_3P_000017_01_0069	[[0, 0], [0, 4555], [3131, 4555], [3131, 0], [0, 0]]	dcec1ac5-9499-4d98-b7ec-bb35f4226b4c	CADASTRE%2FETATS_DE_SECTION%2F%2FABLON%2FFRAD094_3P_000017_01%2FFRAD094_3P_000017_01_0069.jpg	ABLON	FRAD094_3P_000017_01	FRAD094_3P_000017_01_0069	69	https://iiif.geohistoricaldata.org/iiif/2/CADASTRE%2FETATS_DE_SECTION%2F%2FABLON%2FFRAD094_3P_000017_01%2FFRAD094_3P_000017_01_0069.jpg/0,0,3131,4555/full/0/default.jpg	3131	4555	False	ets_tab_p1	AV_1822_NB	COLOR
4778bb0d-627a-4c5e-ac24-010ca558edab	page	FRAD094_3P_000026_01_0006	[[0, 0], [0, 5446], [3593, 5446], [3593, 0], [0, 0]]	97f3d9a0-f2cd-4424-90a9-63fe97eaefc6	CADASTRE%2FETATS_DE_SECTION%2F%2FALFORTVILLE%2FFRAD094_3P_000026_01%2FFRAD094_3P_000026_01_0006.jpg	ALFORTVILLE	FRAD094_3P_000026_01	FRAD094_3P_000026_01_0006	6	https://iiif.geohistoricaldata.org/iiif/2/CADASTRE%2FETATS_DE_SECTION%2F%2FALFORTVILLE%2FFRAD094_3P_000026_01%2FFRAD094_3P_000026_01_0006.jpg/0,0,3593,5446/full/0/default.jpg	3593	5446	False	ets_tab_p1	AP_1822	COLOR
d686047e-2ee6-4991-a331-f674faf5f5a7	page	FRAD094_3P_000026_01_0007	[[0, 0], [0, 5445], [3629, 5445], [3629, 0], [0, 0]]	f56d58ff-913c-4a67-9600-d9c8ef4a41b0	CADASTRE%2FETATS_DE_SECTION%2F%2FALFORTVILLE%2FFRAD094_3P_000026_01%2FFRAD094_3P_000026_01_0007.jpg	ALFORTVILLE	FRAD094_3P_000026_01	FRAD094_3P_000026_01_0007	7	https://iiif.geohistoricaldata.org/iiif/2/CADASTRE%2FETATS_DE_SECTION%2F%2FALFORTVILLE%2FFRAD094_3P_000026_01%2FFRAD094_3P_000026_01_0007.jpg/0,0,3629,5445/full/0/default.jpg	3629	5445	False	ets_tab_p1	AP_1822	COLOR
