skos:Concept,skos:inScheme,skos:broader,skos:closeMatch,skos:exactMatch,skos:prefLabel@fr,skos:altLabel@fr,skos:hiddenLabel@fr,skos:prefLabel@en,skos:altLabel@en,rdfs:comment@fr,cad:TFNBGroup
Abricotier,NatureList,Plantation,,,Plantation d'abricotiers,Abricotiers,,Apricot trees,Apricot,,3
Abreuvoir,NatureList,NatureNonBatie,,,Abreuvoir,,,Water trough,,,8
Acacia,NatureList,Plantation,,,Plantation d'acacias,Acacias,,Acacia,,,5
Ajonc,NatureList,NatureNonBatie,,,Ajonc,Ajoncs,,Gorse,"Furze,Whin",,6
Allee,NatureList,NatureNonBatie,,,Allée,,,Walk,Path,,11
Amandier,NatureList,Plantation,,,Plantation d'amandiers,Amandiers,,Almond tree,Almond,,3
Appenti,NatureList,NatureBatie,Batiment,,Appenti,,,Lean-to,,,
Ardoisiere,NatureList,NatureNonBatie,Carriere,,Ardoisière,"Carrière d'ardoise,Ardoise",,Slate quarry,,,7
Argilliere,NatureList,NatureNonBatie,Carriere,,Argillière,"Carrière d'argile,Argile",,Clay quarry,,,7
Asperges,NatureList,Plantation,,,Plantation d'asperges,Asperge,,Asparagus,,,1
Atelier,NatureList,NatureBatie,,,Atelier,,,Workshop,,,
Aulnaie,NatureList,NatureNonBatie,,,Aulnaie,,,Alder grove,,,5
Bassin,NatureList,NatureNonBatie,,,Bassin,,,Basin,,,8
Barraque,NatureList,NatureBatie,Batiment,,Baraque,,,Hut,Shed,,
Batiment,NatureList,NatureBatie,,,Bâtiment,,"Bat,Bt",Building,,,
BatimentRural,NatureList,Batiment,,,Bâtiment rural,Bâtiments ruraux,,Rural building,,,5
Batterie,NatureList,Batiment,,,Batterie,Batterie de côte,,Battery,,,
Bief,NatureList,NatureNonBatie,,,Bief,,,Millstream,,,11
Bois,NatureList,NatureNonBatie,,,Bois,,,Wood,,,5
BoisAgrement,NatureList,"Bois,ObjetDAgrement",Bois,,Bois d'agrément,,,Ornamental wood,,,13
Broussaille,NatureList,NatureNonBatie,,,Brousaille,,,Undergrowth,Bushes,,6
Bruyere,NatureList,NatureNonBatie,,,Bruyère,Bruyères,,Heather,,,6
Buissiere,NatureList,NatureNonBatie,,,Buissières,,,Boxwood,,,6
Canal,NatureList,NatureNonBatie,,,Canal,,,Canal,,,
CanalAgrement,NatureList,"Canal,ObjetDAgrement",Canal,,Canal d'agrément,,,Ornamental canal,,,
Carriere,NatureList,NatureNonBatie,,,Carrière,,,Quarry,Pit,,7
